abbreviations,officialnames,descriptions
PMBOK,Project Management Body of Knowledge,プロジェクトマネジメントの知識体系。通称ピンボック。プロジェクトマネジメントに関する知識を体系的にまとめた参考書のようなもの。プロジェクトマネジメントにおける世界基準として世界各国に浸透している。
PMI,Project Management Institute,プロジェクトマネジメント協会。非営利のプロジェクトマネジメントの組織。ワールドワイドでプロジェクトマネジメントの標準策定・資格認定・交流などを行う。
QCD,"Quality, Cost, Delivery",品質、費用、納期。生産管理において重要な3項目をまとめて指すもの。
RSTC,"Relevance, Specificity, Testability, Coverage",関連性、具体性、検証可能性、網羅性。仮説の妥当性を検証するためのフレームワーク。
RFQ,Request for Quotation,見積依頼書 / 見積要求書。
ROE,Return on Equity,自己資本利益率。【計算式：当期純利益（P/L）÷自己資本（B/S）】
RTW,Return to Work,職場復帰。復職。
SV,Schedule Variance,スケジュール差異。
SL,Service Line,サービスライン。
SOA,Service Oriented Architecture,プログラム部品を組み合わせることで、素早いサービス提供に主眼を置くこと。
SCQA,"Situation, Complication, Question, Answer",状況、複雑化要因、答えるべき問い、回答。元McKinseyのバーバラ・ミントが提唱したロジカルなストーリーの考え方。この形式をとることが、読者にとって理解しやすいとされる。
SME,Small and Medium sized Enterprise,中小企業。
SWS,Softwear Service,ソフトウェアサービス。
SU,Softwear Update,ソフトウェアアップデート。
SMART,"Specific, Measurable, Achievable, Realistic, Time-bound",目標達成の可能性を高めるために効果的な目標設定方法のこと。「Specific」「Measurable」「Achievable」「Realistic」「Time-bound」の5つの要素で構成される。
7S,"Strategy, Structure, Systems, Staff, Skills, Style, Shared Value","戦略、組織構造、社内の仕組み、人材、能力、経営スタイル、価値観。変化する市場で戦うための自社の武器を、変化させる対象を明らかにするためのフレームワーク。"
SWOT,"Strength, Weakness, Opportunity, Threat",強み、弱み、機会、脅威。外部環境の変化（機会・脅威）と自社の強み・弱みを踏まえて、適切な打ち手のアイデアを得るためのフレームワーク。
SME,Subject Matter Expert,内容領域専門家。
SRM,Supplier Relationship Management,"仕入先管理/サプライヤー関係管理。購買側の企業（「バイヤー」）が日々の活動やミッションの達成で必要となる商品やサービスのプロバイダーとの関係を開始し、発展させていくための多段階プロセス。主な段階：仕入先の選定、リスク評価、契約交渉、オンボーディング、パフォーマンスの管理とリスク監視・軽減。"
SIPCO,"Supplier, Input, Process, Customer, Output",サプライヤー、インプット、顧客、アウトプット。業務フロー作成の主な方法論のうちの一つ。業務プロセスのダイアグラムを構成する5つの要素の頭文字を並べたもの。インプット、プロセス、アウプットが明確に定義される。
SCM,Supply Chain Management,サプライチェーン管理。原材料調達から最終顧客に至るまでの商品供給に関わるすべての活動において、顧客満足の最大化とコス トの最小化を目的として、企業内及び企業間に渡るプロセスを全体最適の観点で管理する手法。
SAP,System Analysis Program,SAP社が生産するERP製品。
SoE,System of Engagement,"エンゲージ（関与）のためのシステム。情報システムを主目的によって区別する分類法の一つ。人間と他の人間、組織、物事などの間の結びつき、関与（engagement）を作り出し、あるいは強化するために構築される情報システム。(特徴：関係を作る道具 /?の?定形な情報を扱う /情報アクセスを容易にする)"
SoI,System of Insight,"インサイト（洞察）のシステム。情報システムを主目的によって区別する分類法の一つ。蓄積された情報の加工や分析を通じて何らかの有用な洞察（insight）を得ることを主目的とするシステム。通常はSoRやSoEと組み合わせて用いられる。（特徴：洞察を得る道具 /?では分からない洞察を引き出す/情報を活?する)"
SoR,System of Record,"記録のシステム。情報システムを主目的によって区別する分類法の一つ。情報の記録を主目的に構築される情報システム。（特徴：定型化の道具 /?の作業を定型化し効率化する /情報を蓄積する）"
TSP,Technical Service Program,技術的なサポートを行うプログラム。IBMでは、Power製品やIBM Zなどのサービスに紐づいて存在している。
TMS,Transport Management System,輸送管理システム。
WMS,Warehouse Management System,倉庫管理システム。倉庫への貨物、資材、商品の入出庫管理や在庫管理などの機能を搭載したシステム。
WIIFM,What’s in it for me?,"「それは私にとってどんな利点があるのか？」「私が得るものは何か？」。Career Conversationsで話す内容。"
WS,Work Shop,ワークショップ。学びや創造、問題解決やトレーニングの手法。
SAP,"独：Systemanalyse Programmentwicklung（英：System Analysis Program Development）",主にビジネス向けソフトウェアの開発を手掛ける大手ソフトウェア企業。
FCF,Free Cash Flow,フリーキャッシュフロー。会社が事業活動で稼いだお金のうち、自由（フリー）に使える現金（キャッシュ）がどれだけあるかを示すもの。
AMS,Application Management Services,顧客のアプリケーションの計画・開発から保守・管理・拡張までを一貫して支援し、開発生産性の向上やコスト削減などに結びつけるというサービス。
API,Application Programing Interface,"ソフトウェアが外部とのデータのやりとりを行うための窓口のこと。多くの企業・サービスがAPIを公開することで他社のサービスや情報を自社のサービス提供に活用することができる。"
APサーバ,Application Server,アプリケーションが実行される場所。動作できる環境構築、データベースへの接続機能、トランザクション、ビジネスロジックの4つの機能からなる。
ARP,Address Resolution Protocol,アドレス解決プロトコル。IPアドレスからMACアドレスを求める際に使用する。一度分かったものはARPテーブルに保持され、ぞれぞれの通信機器、OSで保持される。
AWS,Amazon Web Service,アマゾンウェブサービス。Amazonが提供しているクラウドコンピューティングサービス。Webサービスに限らない、インフラストラクチャーサービスを提供。
BFF,Backends For Frontends,フロントエンドのためのバックエンドサーバ。APIをコールしたり、HTMLを生成したりする。リバースプロキシとバックエンドのAPIサーバの間に設置することが多い。
CI/CD,"Continuous Integration / Continuous Delivery, Continuous Deployment","継続的インテグレーション / 継続的デリバリー、継続的デプロイ。アジャイル開発やDevOps開発におけるテスト・統合・リリースを高速化するため、ソフトウェアの変更を常にテストし、自動で本番環境にリリース可能な状態にしておくソフトウェア開発手法。"
CIM,Computation independent model,IT化を前提とせず本質構造を整理したモデル。
CMMI,Capability Maturity Model Integration,能力成熟度モデル統合。組織がプロセス改善を行う能力を5段階の指標で評価する。
COBIT,Control Objectives for Information and Related Technology,ITガバナンスの成熟度を測るフレームワーク。IT投資の評価、リスクとコントロールの判断、システム監査の基準などに使われている。
CPU,Central Processing Unit,"中央演算装置。ハードウェア部品の内で最も重要なパーツ。演算と制御を行う。制御装置・演算装置・レジスタ・キャッシュメモリ・インタフェースから構成される。高速なCPUほど、処理が早くなる。CPU=頭脳、メモリ=机の上、HDD=引き出しに例えられる。"
CRUD,"Create, Read, Update, Delete","通称クラッド。データを扱うソフトウェアに求められる4つの主要機能：Create(作成), Read（読み取り）, Update(更新), Delete(削除)のこと。論理設計が完了した時点で、モデルの網羅性を確実とするために行われる分析。また、どのエンティティに対してとのプロセスがどのような操作を実行するのかをマトリクスに整理して検証する手法をCRUD分析という。"
CSS,Cascadeing Style Sheet,ウェブページのスタイルを指定するための言語。HTMLやXHTMLなどで作成されるウェブページにスタイルを適用する場合、CSSが一般的に利用される。（cf. XHTML：Extensible HTML）
CUI,Character User Interface,コンピュータにおいて、キーボード入力と文字表示のみを用いた、ソフトウェアの操作体系。対義語としてGUI(Graphical User Interface)がある。
DB,Data Base,データベース。業務システムにおけるデータ管理手段として一般的に用いられるもの。構造の違いで種類はあるが表の形式でデータを整理し格納するリレーショナルデータベース(RDB)が広く用いられている。
DBMS,Database Management System,データベース管理システム。常時稼働してデータの格納や検索の処理を行うプログラム。
DC,Data Center,インターネット用のサーバーなど、装置を設置・運用することに特化した建物の総称。
DevOps,"Development, Operations",開発と運用の協業という組織体制を指すこともあれば、自動化を助けるツール適用のことを指すこともある。IBMでは、それらの定義を包含して「4つのPathと6つのPractice」を定義している。
DHCP,Dynamic Host Configuration Protocol,IPアドレスを端末に自動的に割り当てて使いまわす機能。ネットワーク設定も自動に行ってくれる。
DML,Data Manipulation Language,"データ操作言語。SQLの4大命令の総称。SELECT（検索）・UPDATE（更新）・DELETE（削除）・INSERT（挿入）"
DMZ,De-Militarized Zone,非武装地帯。外部Firewallと内部Firewallの間に位置し、「危険なエリア」と「安全なエリア」の中間である「緩衝地帯」として機能する。
DNS,Domain Name System,URLのhttps://の後ろの赤字部分（FQDN：完全修飾ドメイン）をIPアドレスに置き換える変換サーバー
DX,Digital Transformation,"デジタルトランスフォーメーション。企業が外部エコシステム（顧客、市場）の破壊的な変化に対応しつつ、内部エコシステム（組織、文化、従業員）の変革を牽引しながら、第３のプラットフォーム（クラウド、モビリティ、ビッグデータ／アナリティクス、ソーシャル技術）を利用して、新しい製品やサービス、新しいビジネス・モデルを通して、ネットとリアルの両面での顧客エクスペリエンスの変革を図ることで価値を創出し、競争上の優位性を確立すること。"
ER図,Entity Relationship Diagram,イーアール図。実体(エンティティ)と関連（リレーションシップ）を表した図。データベースで扱う情報の形（データモデル）を表した図であり、データモデリングの成果物。IDEF1XやIE記法が主流。
FK,Foreign Key,外部キー。RDBでテーブルのある列に別のテーブルの特定の列に含まれる項目しか入力できないようにする制約。また、その際に指定する列。
FQDN,Fully Qualified Domain Name,絶対ドメイン名。ドメイン名とホスト名が完全に記載されたもの。ツリー(木)構造を持つDNS (Domain Name System)の階層構造において、 ある特定のノードに付けられたドメイン名を表記する際、 そのノードからDNSのルートまでのすべてのラベルを並べて書いたもの。
FTP,File Transfer Protocol,ファイル転送プロトコル。インターネットなどのTCP/IPネットワークでファイル転送を行うことができるプロトコル（通信規約）の一つ。
GCP,Google Cloud Platform,Googleが提供しているクラウドコンピューティングサービス。AWS、Azureに続き世界三位のシェアを占める。
GDPR,General Data Protection Regulation,EU一般データ保護規則。個人データ保護やその取り扱いについて詳細に定められたEU域内の各国に適用される法令。
GRMプロセス,Global Renewals Management Process,きちんと確認やアクションが確実にできているかどうか、確認するために必要なもの。
GUI,Graphical User Interface,コンピューターのグラフィックス表示とマウスなどのポインティング-デバイスを用いたソフトウエアの操作体系。
HA構成,High Availability構成,高可用性な構成。複数のサーバを用いてシステムを稼働させる構成。1台のサーバに障害が発生した場合に、他のサーバで処理を引き継ぐことが可能であり、利用者はシステムを継続して利用することが可能。
HDD,Hard Disc Drive,ハードディスク。コンピュータなどの代表的なストレージ（補助記憶装置）の一つ。薄くて硬い円盤（ ディスク ）の表面に塗布した磁性体の磁化状態を変化させてデータを記録するもの。
HR,Human Resources,人的資源/人事部。企業や組織において人的資源全般に関わる業務を行っている。日本では人事部を指すことが多い。
HTML,Hyper Text Modeling(Markup) Language,Webページを表示するためのマークアップ言語。文章の論理構造を示すことや、リンクを貼る、画像を表示することが可能。
HTTP,Hyper Text Transfer Protocol,WebサーバとWebクライアントの間でデータの送受信を行うために用いられるプロトコル(通信規約)。一対のリクエストとレスポンスで完結する。（ステートレスなプロトコル）
HTTPS,HTTP Secure,Webのデータ転送に用いられるHTTPが、SSLやTLSで暗号化されている状態を表したもの。
HW,Hardware,ハードウェア。システムの構成要素のうち、回路や装置、機器、設備、施設など、物理的な実体を伴うもの。
HWS,Hardware Service,ハードウェアサービス。
IaaS,Infrastructure as a Service,通称アイアース。仮想サーバーやストレージなど物理層に近いもののみ、ネットワーク経由で提供する。
IHS,IBM HTTP Server,IBMのWebサーバ（HTTPサーバ）ソフトウェア製品のひとつ。WASのHTTPサーバ部分として同梱される。
IP,Internet Protocol,"インターネットプロトロコル。複数の通信ネットワークを相互に接続し、データを中継・伝送して一つの大きなネットワークにすることができる通信規約（プロトコル）の一つ。IPによって接続された世界規模の巨大なコンピュータネットワークをインターネット（the Internet）という。"
IPv4,Internet Protocol Version4,32ビットで同時に約42憶個のIPアドレスを扱えるインターネットプロトコル。
IPv6,Internet Protocol Version6,同時に約3.40×10??個のIPアドレスを扱えるインターネットプロトコル。
IPアドレス,Internet Protocol Address,IPアドレス。ネットワークに接続された個々のネットワークやホスト（機器）に設定された固有の識別番号。
ISO20000,ISO/IEC 20000,国際標準化機構が発行した、ITサービスを提供する組織のITサービスマネジメントが適切であるかどうかを評価するための国際規格、およびガイドライン。
ISO27001,ISO/IEC 27001,国際標準化機構が発行した、情報セキュリティマネジメントシステムの国際規格。
ISO9001,ISO9001（Quality Management Systems－Requirements）,国際標準化機構が発行した、品質マネジメントシステムの国際規格。ISO9001は、組織のマネジメントに関する企画。
ITIL,Information Technology Infrastructure Library,アイティルと呼ばれる。ITサービスマネジメントのベストプラクティスをまとめた一連のガイドブック。ISO20000よりも自由度が高く、企業は自社で導入したいプロセス・内容・粒度を選択することができ、部分的にITILを適用することが可能。
IWF,Intelligent Workflow,インテリジェントワークフロー。AIやテクノロジーを活用し、変化に対して柔軟な業務対応を効率的・自動的に遂行することを可能とする、Cognitive Enterprise実現までのアプローチ。
JS,JavaScript,Webサイトやシステムの開発に用いられるプログラミング言語。幅広い対応が可能だが、得意な分野はWebが中心。
JSP,JavaServer Pages,Webページ内にJavaプログラムを埋め込み、サーバ上で実行して結果を反映したページを動的に生成することができる技術。
k8s,kubernetes,クーベネティス。コンテナの運用実行と管理を行うオーケストレーションツール。
LAN,Local Area Network,"ローカルエリアネットワーク。同じ建物内にある小さな物理的エリア内にあるネットワーク。対義に複数の建物を占める場合に用いるWAN(World Area Network)がある。"
MAC,Media Access Control,媒体アクセス制御。通信プロトコル（通信規約）を階層化したモデルにおける層の一つ。
MVS,Multiple Virtual Storage,多重仮想記憶。IBMが開発したメインフレーム向けOS製品であり、現代の仮想マシンに近い仕組み。
NGO,Non-Governmental Organization,非政府組織。貧困・飢餓や紛争、環境破壊や災害など世界で起こっているさまざまな課題に、政府や国際機関とは異なる「民間」の立場から、利益を目的とせず取り組む市民団体。
NPO,Non-Profit Organization/Not-for-Profit Organization,非営利組織。様々な社会貢献活動を行い、団体の構成員に対し、収益を分配することを目的としない団体の総称。
NPS,Net Promoter Score,ネットプロモータースコア。顧客への顧客の企業やブランドに対する愛着や信頼度を数値化する指標。
OCP,OpenShift Container Platform,-
OS,Operating System,オペレーティングシステム。コンピュータに基本機能を提供するソフトウェア。OSによって異なるハードウェア・機種でも同様に使うことができる。
OSI,Open Systems Interconnection,異機種間のデータ通信を実現するためのネットワーク構造の設計方針。
OSI参照モデル,Open Systems Interconnection Reference Model,"OSI参照モデル。TCP/IP階層モデルをさらに細分化したもの。ネットワークインターフェイス層が物理層とデータリンク層に分かれ、アプリケーション層がセッション層、プレゼンテーション層、アプリケーション層に分かれる。"
PaaS,Platform as a Service,通称パース。データベースやアプリケーションサーバーなど、OS層以下のミドルウェアをサービスとして提供する。
PIM,Platform Independent Model,ある特定の理論を前提に整理したモデル。実装にあたり特定のプラットフォームに依存しないモデル。
PK,Primary Key,主キー。RDBのテーブル内でレコードを一意に識別することができるように指定される項目。レコードを構成する項目の中から1つあるいは複数が主キーとして選択・設定される。
PoC,Proof of Concept,コンセプト実証。新しいアイデアなどの実現可能性を示すためだけに行われる、部分的なデモンストレーションのこと。
POP3,Post Office Protocol versison3,インターネットなどのTCP/IPネットワークで標準的に用いられる、電子メール（eメール）を受信するための通信規約（プロトコル）の一つ。
PSM,Platform Specific Model,ある特定の製品を前提に整理したモデル。実装にあたり特定のプラットフォームに依存するモデル。
PTI,Pre-Tax Income,税前利益。
QA,Quality Assurance,"品質保証。自社製品が既定の品質を維持しているかを確認し、納品後も顧客に安心や満足を保証するための体系的な活動を指す。具体的には、保証の根拠となるデータのチェックや調査、クレーム対応などの業務が該当し、各部門へのフィードバックを通じて、顧客が満足できる品質の確保に努める。"
RA,Revenue Apportionment,収益配分。
RDB,Relational Database,リレーショナルデータベース。データベースの一種で、様々なデータを複数の行と列の表の形に整理して格納する方式のデータベース。最も広く使われているデータベース種類である。
RDBMS,Relational Database Management System,リレーショナルデータベース管理システム。DBMSのうち、特に、表の形式でデータを整理して管理するプログラム。広く用いられている。
RHCOS,Red Hat Enterprise Linux Core OS,-
RHEL,Red Hat Enterprise Linux,レッドハット・エンタープライズ・リナックス。レッドハット社によって開発、販売されているLinuxプラットフォームで、オープンソースのオペレーティングシステム。
ROI,Return On Investment,投資収益率。投資金額に対する利益の割合（投資収益率）のことで、「投資に対して何%の利益が得られたか」を意味する。「利益（売上ーコスト）÷投資コスト×100（％）」で算出できる。
RPA,Robotics Process Automation,ロボティック・プロセス・オートメーション。事業プロセスを自動化する技術のひとつ。
SaaS,Software as a Service,サービスとしてのソフトウェア。ソフトウェアをインターネットを通じて遠隔から利用者に提供する方式。利用者はWebブラウザなどの汎用クライアントソフトを用いて事業者の運用するサーバへアクセスし、ソフトウェアを操作・使用する。
SFTP,Secure File Transfer Protocol,sshで暗号化された通信路を使って安全にファイルを送受信するプロトコル。
SMTP,Simple Mail Transfer Protocol,インターネットなどのTCP/IPネットワークで標準的に用いられる、電子メール（eメール）を伝送するための通信手順（プロトコル）の一つ。
SOW,Statement of Work,作業範囲記述書。複数の組織が関わる事業、業務、プロジェクトにおいて、その目標やスケジュール、成果物の定義や仕様、作業工程、作業内容、役割分担、権限などを定義した文書。
SOX,Sarbanes　Oxley,"上場企業会計改革および投資家保護法（サーベンス・オクスリー法）。SOX法、ソックス法と呼ばれる。企業の粉飾決算や不正会計処理を防ぐため、内部統制を強め、管理・点検体制を整えることを義務づけた企業改革法。"
SQL,Structured Query Language,DBMS（データベース管理システム）上でデータやデータベースを制御するための言語。国際基準では略語として定義されていない。
SSAE,Statement on Standards for Attestation Engagements,"保証業務基準書。米国公認会計士協会（AICPA）が定めた、アウトソーシングサービスなどの受託業務を行う会社の、内部統制の有効性を評価する保証基準。現在適用されているのはSSAE18であり、?米国公認会計士協会(AICPA)の定める米国アテステーション業務基準書第18号を指す。"
SSD,Solid State Drive,半導体ドライブ。補助記憶装置の一つ。HDDの代わりに半導体素子を使用。フラッシュメモリを用いたものが主流。
SSH,Secure Shell,セキュアシェル。主にUNIXコンピュータで利用される、ネットワークを介して別のコンピュータにログインして操作するためのソフトウェアの一つ。通信経路が暗号化されるため、インターネットなどを経由しても安全にアクセスすることができる。
SSL/TLS,Secure Sockets Layer/Transport Layer Security,インターネット上でデータを暗号化して送受信する仕組み（プロトコル）。重要なデータを暗号化して、サーバとPC間の通信を安全に行うことが可能。
SW,Software,ソフトウェア。ハードウェア上で動き、ある目的を満たす機能を提供する。プログラムによって作られている。
TA,Technology Architecture,IT基盤の設計思想・基本構造。
TCP,Transmission Control Protocol,"インターネットなどのネットワークで、IP（Internet Protocol）の一段階上位層のプロトコル（通信規約）として標準的に使われるものの一つ。通信相手が受け取ったかを確認するため信頼性は高いが転送速度は遅い。HTTPやメールなど確実性が重視される場面で使用される。"
TCP/IP,Transmission Control Protocol/Internet Protocol,インターネットで標準的に利用されている通信プロトコル。TCPとIPという2つのプロトロコルで構成されている。
TELNET,Teletype network,インターネットなどのTCP/IPネットワークを通じて別のコンピュータにアクセスし、遠隔操作するための通信規約（プロトコル）の一つ。
TLS,Transport Layer Security,インターネットなどのTCP/IPネットワークでデータを暗号化して送受信するプロトコル（通信手順）の一つ。SSLの後継規格。
UDP,User Datagram Protocol,リアルタイム性を重視する通信プロトコル。通信相手が受け取ったか確認しないので、信頼性よりも転送速度重視になる。音声通話やストリーミングで使用される。
URL,Uniform Resource Locator,インターネット上に存在する情報資源（データやサービスなど）の位置を記述するためのデータ形式
VICCS,"Veterans Intake, Conversion & Communication Services",-
VM,Virtual Machine,仮想マシン。物理ハードウェアシステム上に作成され、固有のCPU、メモリ、ネットワーク・インターフェース、ストレージを持ち、仮想コンピュータシステムとして機能する仮想環境。
VPN,Virtual Private Network,仮想専用線。インターネット上で仮想の専用ネットワークを設け、安全なルートを確保したうえで重要な情報をやり取りする技術。
WAN,Wide Area Network,インターネットや広範囲に広がるネットワークのこと。反対に個別のネットワークはLANと呼ぶ。
WBS,Work Breakdown Structure,"作業分解構成図。プロジェクトのスケジュール管理に使われるツールのひとつ。仕事の目的を達成する上で必要となる作業工程を階層的に分解し、具体的な作業スケジューリングと進捗管理が可能なように一覧化したもの。"
Wi-Fi,Wireless Fidelity,ワイファイ。無線でネットワークに接続する技術のこと。
WPA,Wi-fi Protected Access,無線LAN（Wi-Fi）上で通信を暗号化して保護するための技術規格の一つ。通信機器などが同規格に準拠していることを認定する認証制度。
WWPMM,Worldwide Project Management Method,プロジェクトの定義・形成・計画・デリバリーを管理する方法を説明する、IBM共通のプロジェクトマネジメントメソッド。
RSE,RSE,Concur特有の営業担当の呼び方。
JPT,"Japan Public Transport",Concurの経費タイプ「日本の公共交通機関」。
ASC,"Authorized Support Contact",Hand-off後、Concurクライアントサポートからのコンタクト先のお客様。
CBCP,Company Billed Company Paid,コーポレートカードのタイプ。会社請求・会社支払を指す。
CBIP,"Company Billed Individual Paid",コーポレートカードのタイプ。会社請求・個人支払 を指す(日本では利用実績なしのため、使用には注意)。
IBIP,Individually Billed Individual Paid,コーポレートカードのタイプ。個人請求・個人支払を指す。
SAEファイル,Standard Accounting Extractファイル,会計システムにデータをインポートするために使用するファイル。
DSP,IBM Digital Services Platform for Financial Services,IBMが提供する金融向けデジタルサービス・プラットフォーム。勘定系システムとデータ連携する新たな金融サービスを短期間で開発するためのミドルウェア基盤。
IbD,IBMer by Degrees,キャリア採用者のサポートを目的とし、研修やマネージャーによる支援等を受けられるIBM Consulting Japan独自の 半年間のプログラム。
IWS,IBM Working Style,IBMの働き方や社内ツールについての理解を深める研修名。
